ReqID,Block,Description
REQ-RD-001,radar/BeamformStage,MVDR beamforming shall collapse N-element array data to single-channel output by inverting the spatial covariance matrix
REQ-RD-002,model/steering_vector.m,Steering vector shall compute plane-wave phase pattern a(theta) = exp(j*2*pi*x*sin(theta)/lambda) for arbitrary linear array
REQ-RD-003,model/mvdr_beamform.m,Sample spatial covariance shall be computed as R = (1/K) * rx.^T * conj(rx) matching the standard E[x*x^H] convention
REQ-RD-004,model/mvdr_beamform.m,Diagonal loading shall regularise the covariance inverse under snapshot-deficient conditions
REQ-RD-005,radar/RangeDopplerStage,Matched-filter pulse compression shall be applied per pulse using full-length convolution with time-reversed conjugate of transmit chirp
REQ-RD-006,model/matched_filter.m,Matched filter output indexing shall map sample i to delay (i-1) samples with no post-hoc range-axis offset
REQ-RD-007,radar/RangeDopplerStage,Hamming window shall be applied across slow-time before Doppler FFT to suppress Doppler sidelobes
REQ-RD-008,model/range_doppler.m,Doppler FFT shall be computed across pulses per range cell
REQ-RD-009,model/range_doppler.m,fftshift shall place zero-Doppler bin at the centre of the velocity axis
REQ-RD-010,model/range_doppler.m,Range axis shall map to physical distance via i*c/(2*fs) metres per sample
REQ-RD-011,model/range_doppler.m,Velocity axis shall map to physical velocity via v = lambda*f_d/2 with positive = closing
REQ-RD-012,radar/CFARStage,CA-CFAR detector shall estimate local noise from a training ring around a guard region and threshold above alpha*noise
REQ-RD-013,model/cfar_ca.m,CFAR threshold multiplier shall follow the Rohling formula alpha = N_train*(Pfa^(-1/N_train) - 1) for exponential noise
REQ-RD-014,model/cfar_ca.m,Guard cells around each cell under test shall be excluded from the noise estimate
REQ-RD-015,radar/CFARStage,CFAR detections shall be extracted as a top-K list sorted by power (K = 16) with SNR estimated from a global noise floor
REQ-RD-016,radar/rx_cube,Root inport rx_cube shall accept a Nspp_receive x 8 x 16 complex IQ data cube
REQ-RD-017,radar/look_angle_rad,Root inport look_angle_rad shall accept the steering direction in radians from array broadside
REQ-RD-018,radar/tx,Root inport tx shall accept the transmit reference chirp for matched filtering
REQ-RD-019,radar/det_range_m,Root outport det_range_m shall expose detection range in metres for up to 16 top hits
REQ-RD-020,radar/n_detections,Root outport n_detections shall expose the actual detection count as int32
